FAQ_No,Category1,Category2,Category3,Category4,Category5,Question,Answer,Landing URL,Landing URL Button Name,Image info (URL)
11,말라리아,말라리아,,,,말라리아는 어떻게 치료하나요?,"말라리아는 신속히 치료하면 완치가 가능해요. 국내 삼일열 말라리아는 클로로퀸으로 혈중 원충을 제거한 뒤 간 내 잠복 원충 제거를 위해 프리마퀸을 추가 투여해요. 열대열 말라리아는 클로로퀸 내성이 많아 아르테미시닌 기반 병합요법(ACT) 등을 사용해요. 의심 증상이 있으면 즉시 의료기관을 방문해야 하며, 진단은 신속항원검사(RDT)와 현미경검사·유전자검사(PCR)로 확진합니다. 자가 판단 없이 반드시 의사의 처방을 받으세요.",https://www.kdca.go.kr,자세히 보기,
12,말라리아,말라리아,,,,해외여행 후 말라리아가 의심될 때 어떻게 해야 하나요?,말라리아 유행 국가 여행 후 귀국 시 입국장 검역관에게 증상을 알리고 검역 신고를 해 주세요. 귀국 후 발열·오한·두통 등 의심 증상이 나타나면 즉시 가까운 의료기관에 방문해 해외여행 이력(방문 국가·기간)을 반드시 알려주세요. 열대열 말라리아는 치료가 늦어지면 위험할 수 있으므로 빠른 검사와 치료가 중요해요. 일부 보건소와 국립검역소에서 무료 검사를 받을 수 있으니 질병관리청(1339)에 문의해 보세요.,http://해외감염병now.kr,자세히 보기,
13,말라리아,말라리아,,,,말라리아 예방접종이 있나요?,"현재 국내에서 일반적으로 사용 가능한 말라리아 백신은 없어요. WHO는 아프리카 소아를 대상으로 RTS,S/AS01(Mosquirix) 백신을 권고하고 있으나, 국내에는 도입되지 않았어요. 따라서 말라리아 예방을 위해서는 예방약 복용(의사 처방 필수)과 모기에 물리지 않는 행동 예방이 핵심이에요. 말라리아 유행 국가를 여행할 계획이라면 출발 4주 전에 여행 클리닉이나 감염내과를 방문해 예방 상담을 받으시길 권해요.",https://www.kdca.go.kr,자세히 보기,
14,SFTS,SFTS(중증열성혈소판감소증후군),,,,SFTS란 무엇인가요?,"SFTS(중증열성혈소판감소증후군, Severe Fever with Thrombocytopenia Syndrome)는 SFTS 바이러스를 보유한 작은소참진드기에 물려 감염되는 인수공통감염병이에요. 주로 4월~11월, 진드기 활동이 활발한 시기에 농작업·등산·야외활동 중 노출되어 발생해요. 백신과 특이적 치료제가 없고 치명률이 약 18~20%로 높아 예방이 가장 중요한 질병이에요. 2013년 국내 최초 보고 이후 매년 100~200건 이상 신고되고 있습니다.",https://www.kdca.go.kr,자세히 보기,
15,SFTS,SFTS(중증열성혈소판감소증후군),,,,SFTS 증상이 어떻게 되나요?,"SFTS 증상은 진드기에 물린 후 1~2주의 잠복기를 거쳐 나타나요. 주요 증상은 38~40℃의 고열과 함께 오심·구토·설사·복통 등 소화기 증상이에요. 이와 더불어 두통·근육통·림프절 종창이 나타나고, 혈액검사에서 백혈구와 혈소판이 감소하는 것이 특징이에요. 중증으로 진행되면 신경 증상(의식장애·경련·혼수), 다발성 장기부전, 출혈 증상이 나타날 수 있어요. 고령자나 기저질환자는 중증으로 진행될 위험이 높으니 특히 주의가 필요해요.",https://www.kdca.go.kr,자세히 보기,
16,SFTS,SFTS(중증열성혈소판감소증후군),,,,SFTS 치명률은 얼마나 되나요?,"SFTS의 치명률은 약 18~20% 수준으로 상당히 높은 편이에요. 특히 고령자(60세 이상), 면역저하자, 당뇨·심장질환 등 기저질환자에서 사망 위험이 더 높아요. 중증으로 진행되면 다발성 장기부전이 발생하며 이 경우 치명률이 더욱 높아져요. 현재 SFTS에 대한 특이적 치료제와 백신이 없어 조기에 진단하고 중환자 집중치료 등 대증요법을 받는 것이 생존율을 높이는 데 중요하답니다. 야외활동 후 발열 증상이 있으면 즉시 의료기관을 방문하세요.",https://www.kdca.go.kr,자세히 보기,
17,SFTS,SFTS(중증열성혈소판감소증후군),,,,SFTS는 언제 가장 많이 발생하나요?,"SFTS는 주로 4월부터 11월 사이에 발생하며, 특히 진드기 활동이 가장 왕성한 5~10월에 집중적으로 신고돼요. 봄철 텃밭 작업이나 등산 등 야외활동 증가 시기와 맞물려 4~5월에도 발생 사례가 꾸준히 보고되고 있어요. 추수기인 9~10월에도 농작업 중 감염 사례가 많으니, 농촌 지역 거주자나 야외활동이 많은 분들은 진드기 예방수칙을 철저히 지켜주세요. 겨울에는 진드기 활동이 줄어 발생 보고가 거의 없답니다.",https://www.kdca.go.kr,자세히 보기,
18,SFTS,SFTS(중증열성혈소판감소증후군),,,,SFTS는 치료제가 있나요?,"현재 SFTS에 대한 특이적 치료제와 백신은 없어요. 치료는 발열·통증 완화, 수액 보충, 합병증 관리 등 대증치료 위주로 진행돼요. 중증의 경우 중환자실 집중치료가 필요할 수 있어요. 항바이러스제인 리바비린이 일부 사용되지만 효과는 제한적이에요. 조기에 진단하여 적극적인 지지요법을 받는 것이 생존율을 높이는 데 중요해요. 따라서 야외활동 후 1~2주 이내 원인 모를 발열·소화기 증상이 나타나면 즉시 진료를 받고 진드기 노출 여부를 의사에게 알려주세요.",https://www.kdca.go.kr,자세히 보기,
19,SFTS,SFTS(중증열성혈소판감소증후군),,,,SFTS 환자와 접촉하면 감염될 수 있나요?,"SFTS는 주로 진드기에 물려 감염되지만, 중증 환자나 사망자의 혈액·체액에 직접 노출될 경우 예외적으로 사람 간 전파가 가능해요. 일상적인 접촉(악수, 대화, 같은 공간 이용)으로는 전파되지 않아요. 환자를 간호하거나 의료기관에서 치료할 때는 장갑·가운·마스크(KF-94 또는 N-95)·고글 등 개인보호장구를 반드시 착용해야 해요. 환자 가족이나 의료진도 노출 후 발열 등 의심 증상이 나타나면 즉시 신고하고 진료를 받으세요.",https://www.kdca.go.kr,자세히 보기,
20,SFTS,SFTS(중증열성혈소판감소증후군),,,,SFTS가 의심되면 어떻게 해야 하나요?,"진드기에 물린 후 또는 야외활동 후 1~2주 이내에 38℃ 이상 고열, 구역·구토·설사 등 소화기 증상이 나타나면 SFTS를 의심할 수 있어요. 이런 경우 즉시 가까운 의료기관에 방문해 진드기 노출 여부와 야외활동 이력을 의료진에게 알려주세요. 혈액검사에서 백혈구·혈소판 감소가 확인되면 SFTS 확진검사(PCR 등)를 받게 돼요. 진드기에 물린 부위를 알고 있다면 진드기를 제거한 후 보관해 두면 진단에 도움이 될 수 있어요. 늦지 않게 치료받는 것이 무엇보다 중요해요.",https://www.kdca.go.kr,자세히 보기,
21,쯔쯔가무시증,쯔쯔가무시증,,,,쯔쯔가무시증이란 무엇인가요?,"쯔쯔가무시증은 쯔쯔가무시균(Orientia tsutsugamushi)에 감염된 털진드기 유충에 물려 발생하는 급성 발열성 질환이에요. 털진드기 유충은 풀밭·잡목 지역에 서식하며, 사람의 피부에 붙어 체액을 빨며 균을 옮겨요. 국내에서 가장 흔한 리케차 질환으로, 매년 5,000~8,000건 이상 신고되는 3급 법정감염병이에요. 주로 가을철(9~11월)에 집중 발생하며, 항생제(독시사이클린) 치료 시 빠르게 호전되는 것이 특징이랍니다.",https://www.kdca.go.kr,자세히 보기,
22,쯔쯔가무시증,쯔쯔가무시증,,,,쯔쯔가무시증 증상이 어떻게 되나요?,"쯔쯔가무시증은 잠복기(약 10일 이내) 후 갑작스러운 발열·오한·두통으로 시작해요. 이후 근육통·기침·구토·복통·인후염이 나타나고, 발진과 가피(딱지, eschar)가 생기는 것이 큰 특징이에요. 발진은 감염 3~7일 후 몸통에서 시작해 팔다리로 퍼지는 가렵지 않은 붉은 점 형태예요. 가피는 털진드기에 물린 자리에 생기는 검은 딱지로, 쯔쯔가무시증 환자의 약 97%에서 확인되는 중요한 진단 단서예요. 증상 초기에 항생제를 투여하면 48시간 내 열이 내려가는 경우가 많아요.",https://www.kdca.go.kr,자세히 보기,
23,쯔쯔가무시증,쯔쯔가무시증,,,,가피(딱지)가 생기면 쯔쯔가무시증인가요?,"가피(eschar)는 쯔쯔가무시증의 가장 중요한 진단 단서 중 하나예요. 털진드기 유충이 물고 간 자리에 검은 딱지처럼 생기는데, 주로 사타구니·겨드랑이·목 뒤·배꼽 주변 등 피부가 접히는 부위에서 발견돼요. 약 97%의 쯔쯔가무시증 환자에서 확인되며, 가피와 함께 발열·두통·발진이 동반되면 쯔쯔가무시증을 강하게 의심할 수 있어요. 단, 가피만으로 확진되지는 않으며, 혈액검사나 PCR 등 확인 검사가 필요해요. 가피가 발견되면 즉시 의료기관을 방문해 주세요.",https://www.kdca.go.kr,자세히 보기,
24,쯔쯔가무시증,쯔쯔가무시증,,,,쯔쯔가무시증은 언제 가장 많이 발생하나요?,"쯔쯔가무시증은 털진드기 유충이 왕성하게 활동하는 9~11월에 집중 발생해요. 특히 11월에 전체 환자의 50% 이상이 발생할 정도로 가을철에 급격히 증가해요. 추수철 논밭 작업·야외 활동이 증가하는 시기와 맞물려 발생이 늘어나는 경향이 있어요. 2024년에는 11월 중순 기준 약 3,028명이 신고되었어요. 가을 야외활동 전에 예방수칙을 꼭 확인하고, 귀가 후에는 반드시 샤워하며 온몸을 살펴보세요.",https://www.kdca.go.kr,자세히 보기,
25,쯔쯔가무시증,쯔쯔가무시증,,,,쯔쯔가무시증은 어떻게 치료하나요?,"쯔쯔가무시증은 항생제 치료로 빠르게 회복할 수 있어요. 주로 독시사이클린(성인 기준 100mg, 1일 2회)을 처방하며, 열이 내린 후에도 최소 3일 이상 총 7일 내외로 복용해요. 대부분 항생제 투여 후 24~48시간 내에 열이 떨어져요. 임신부나 소아에게는 아지스로마이신을 사용할 수 있어요. 치료를 받지 않으면 간질성 폐렴·급성호흡곤란증후군·심근염·신부전 등 심각한 합병증이 생길 수 있어요. 국내 치명률은 약 0.1~0.3%로 낮지만, 초기 치료가 매우 중요합니다.",https://www.kdca.go.kr,자세히 보기,
26,쯔쯔가무시증,쯔쯔가무시증,,,,쯔쯔가무시증 다발 지역은 어디인가요?,"쯔쯔가무시증을 매개하는 털진드기는 우리나라 전역에 분포해 전국 어디서나 발생할 수 있어요. 다만 농촌 지역, 특히 논·밭·과수원·텃밭이 많은 충남·전남·경남·경북·강원 등 지역에서 비교적 많이 발생하는 경향이 있어요. 최근에는 도시 인근 텃밭 작업, 등산 등으로 도시 거주자의 감염도 증가하고 있어요. 어디서든 가을철 야외활동 시에는 긴 옷 착용과 기피제 사용 등 예방수칙을 철저히 지켜주세요.",https://www.kdca.go.kr,자세히 보기,
27,쯔쯔가무시증,쯔쯔가무시증,,,,쯔쯔가무시증은 재발할 수 있나요?,"쯔쯔가무시증은 한 번 감염되어도 완전한 면역이 생기지 않아 재감염이 가능해요. 쯔쯔가무시균은 균주가 다양하게 존재해, 다른 균주에 의한 재감염이 일어날 수 있어요. 따라서 한 번 감염된 후 완치된 분도 가을철 야외활동 시 동일한 예방수칙을 철저히 지켜야 해요. 항생제 치료 후 증상이 완전히 사라졌더라도 다음 가을에 다시 감염될 수 있으니, 야외활동 후 의심 증상이 나타나면 재감염 가능성을 생각하고 즉시 진료를 받으세요.",https://www.kdca.go.kr,자세히 보기,
28,뎅기열,뎅기열,,,,뎅기열이란 무엇인가요?,"뎅기열은 뎅기 바이러스(DENV1~4, 4가지 혈청형)에 감염된 이집트숲모기 또는 흰줄숲모기에 물려 발생하는 급성 열성 바이러스 질환이에요. 열대·아열대 지역(동남아시아·중남미·아프리카 등 100여 개국 이상)에서 유행하며, 전 세계적으로 매년 수억 명이 감염되는 중요한 감염병이에요. 국내에서는 토착 발생 없이 해외 유입 사례만 보고되며, 현재 국내 상용화된 뎅기 백신은 없어요. 예방의 핵심은 유행 지역 여행 시 모기에 물리지 않는 것이랍니다.",http://해외감염병now.kr,자세히 보기,
29,뎅기열,뎅기열,,,,뎅기열 증상이 어떻게 되나요?,"뎅기열은 모기에 물린 후 4~7일(최대 14일) 잠복기를 거쳐 갑작스럽게 39~40℃의 고열과 함께 심한 두통·안구통·근육통·관절통이 나타나요. '뼈가 부러지는 것 같은 통증'이라 해서 '골절열(breakbone fever)'이라고도 불려요. 발열 2~5일 후 몸통에서 팔다리로 퍼지는 발진이 나타날 수 있어요. 대부분 1~2주 내 회복되지만, 일부는 혈소판 감소로 인한 출혈 증상(잇몸 출혈·코피·점상 출혈)이 나타나는 중증 뎅기열로 진행될 수 있어 주의가 필요해요.",http://해외감염병now.kr,자세히 보기,
30,뎅기열,뎅기열,,,,뎅기열 유행 국가는 어디인가요?,"뎅기열은 동남아시아(태국·베트남·인도네시아·필리핀·말레이시아 등), 남아시아(인도·방글라데시·스리랑카 등), 중남미(브라질·콜롬비아·멕시코 등), 아프리카 열대 지역 등 약 100여 개국 이상에서 유행하고 있어요. 2024년에는 브라질 등 중남미와 동남아시아에서 역대급 유행이 보고되기도 했어요. 여행 전 '해외감염병 NOW'(해외감염병now.kr)에서 방문 국가의 최신 감염병 발생 정보를 꼭 확인하세요.",http://해외감염병now.kr,자세히 보기,
31,뎅기열,뎅기열,,,,뎅기열 재감염이 왜 위험한가요?,"뎅기 바이러스는 혈청형이 4가지(DENV1~4)가 있어요. 한 혈청형에 감염된 후 회복되면 그 혈청형에 대한 평생 면역이 생기지만, 나머지 3가지 혈청형에 대한 면역은 생기지 않아요. 문제는 다른 혈청형에 재감염될 경우 항체의존성 감염 증강(ADE) 현상으로 인해 중증 뎅기열(뎅기 출혈열·뎅기 쇼크 증후군)로 진행될 위험이 훨씬 높아져요. 중증 뎅기열은 생명을 위협할 수 있으므로, 이전에 뎅기열에 걸렸던 분은 유행 국가 여행 시 특히 모기 예방에 더욱 철저해야 해요.",http://해외감염병now.kr,자세히 보기,
32,뎅기열,뎅기열,,,,뎅기열 치료법이 있나요?,"현재 뎅기열에 특효인 항바이러스제는 없어요. 치료는 충분한 수분 섭취, 해열제(아세트아미노펜) 복용, 안정 등 대증치료 위주로 진행해요. 아스피린이나 이부프로펜 등 비스테로이드 소염제(NSAIDs)는 출혈 위험을 높일 수 있어 사용하면 안 돼요. 혈소판이 심하게 감소하거나 출혈 증상이 나타나는 중증 뎅기열은 입원 치료가 필요해요. 조기에 적절한 치료를 받으면 사망률을 크게 낮출 수 있어요. 귀국 후 의심 증상이 있으면 즉시 의료기관에서 해외여행력을 알리고 진료를 받으세요.",http://해외감염병now.kr,자세히 보기,
33,뎅기열,뎅기열,,,,귀국 후 뎅기열이 의심될 때 어떻게 해야 하나요?,"뎅기열 유행 국가 여행 후 귀국 시 입국장 검역관에게 증상을 알리고 건강 상태 질문서를 제출해 주세요. 귀국 후 2주 이내 38℃ 이상 발열·심한 두통·근육통·발진 등 의심 증상이 나타나면 즉시 의료기관을 방문해 방문 국가와 여행 기간을 알려주세요. 국립검역소나 일부 보건소에서 무료 뎅기열 검사를 받을 수 있어요. 회복 후 최소 4주간은 헌혈을 삼가고, 모기에 물리지 않도록 주의해 2차 전파를 예방해 주세요.",http://해외감염병now.kr,자세히 보기,
34,라임병·기타진드기매개,라임병,,,,라임병이란 무엇인가요?,"라임병은 보렐리아균(Borrelia burgdorferi 등)에 감염된 참진드기에 물려 발생하는 세균성 감염병이에요. 진드기가 피부에 붙어 흡혈하는 과정(최소 36~48시간 이상)에서 균이 전파돼요. 국내에서는 1993년 최초 보고 이후 2023년 기준 연간 45건 내외의 소수 사례가 신고되고 있어요. 미국·유럽·아시아 등 넓은 지역에서 발생하는 가장 흔한 진드기매개질환 중 하나예요. 조기에 발견해 항생제 치료를 받으면 완치가 가능하지만, 진단이 늦어지면 신경계·심장·관절 등에 합병증이 생길 수 있어요.",https://www.kdca.go.kr,자세히 보기,
35,라임병·기타진드기매개,라임병,,,,라임병 증상이 어떻게 되나요?,"라임병 증상은 3단계로 나뉘어요. 초기(1기)에는 진드기에 물린 후 3~30일 내에 물린 자리 주변에 과녁 모양의 이동성 홍반(EM)이 나타나고, 발열·피로·두통·근육통이 동반될 수 있어요. 수주~수개월 후 2기에는 심장 두근거림·전도 장애, 안면 신경 마비, 뇌수막염 등 신경계·심장 증상이 나타날 수 있어요. 치료 받지 않은 경우 수개월~수년 후 3기(후기)에는 무릎 등 대관절의 관절염이 생길 수 있어요. 초기 증상에서 발견해 치료하면 가장 좋은 예후를 보여요.",https://www.kdca.go.kr,자세히 보기,
36,라임병·기타진드기매개,라임병,,,,라임병 이동성 홍반이란 무엇인가요?,"이동성 홍반(Erythema Migrans, EM)은 라임병의 가장 중요한 초기 증상이에요. 진드기에 물린 자리에서 시작해 점점 바깥쪽으로 확장되는 붉은 발진으로, 중심부가 점차 맑아지면서 지름 5~70cm(평균 15cm 이상)까지 커지는 '황소 눈(bull's-eye)' 또는 과녁 모양이 특징이에요. 물린 후 보통 7~14일(3~30일) 이내에 나타나며, 사타구니·겨드랑이·무릎 뒤 등 피부가 접히는 곳에 잘 생겨요. 이동성 홍반이 보이면 즉시 의료기관을 방문해 라임병 검사를 받으세요.",https://www.kdca.go.kr,자세히 보기,
37,라임병·기타진드기매개,라임병,,,,라임병은 어떻게 치료하나요?,"라임병은 항생제로 치료해요. 초기(이동성 홍반 단계)에는 독시사이클린(200mg/일, 2회/일) 또는 아목시실린·세푸록심을 10~21일 경구 투여해요. 뇌수막염·심근염 등 중증 합병증이 있는 경우 세프트리악손 등을 2~4주간 정맥 투여해요. 관절염에는 4주간 항생제 치료를 하고, 신경 증상이 동반된 경우 정맥 투여를 고려해요. 조기에 치료하면 대부분 완치되지만, 진단이 늦어지면 일부에서 피로감·근골격계 통증·신경계 증상이 오래 지속될 수 있어요.",https://www.kdca.go.kr,자세히 보기,
38,라임병·기타진드기매개,라임병,,,,라임병은 국내에도 있나요?,"네, 라임병은 국내에서도 발생해요. 1993년 국내 첫 증례가 보고된 이후 꾸준히 산발적으로 발생하고 있으며, 2023년 기준 연간 45건 내외가 신고됐어요. 국내 추정 감염지역은 충남·인천·서울·강원·전남 등이에요. 국내 발생 건수는 미국·유럽에 비해 적지만, 야산·숲·풀밭에서 활동하는 경우 진드기에 물려 감염될 수 있어요. 등산·캠핑·텃밭 작업 등 야외활동 후 진드기에 물린 부위 주변에 붉은 발진이 나타나면 즉시 의료기관을 방문하세요.",https://www.kdca.go.kr,자세히 보기,
39,라임병·기타진드기매개,진드기매개뇌염,,,,진드기매개뇌염(TBE)이란 무엇인가요?,"진드기매개뇌염(Tick-Borne Encephalitis, TBE)은 TBE 바이러스에 감염된 참진드기에 물려 발생하는 바이러스성 뇌염이에요. 유럽형·시베리아형·극동형 3가지 아형이 있으며, 아형에 따라 임상 양상과 치명률이 다소 달라요. 극동형은 치명률이 20~40%로 높고, 유럽형은 상대적으로 낮아요. 현재 특이적 항바이러스 치료제는 없으며, 대증치료 및 합병증 관리로 치료해요. 유행 지역 여행자는 예방접종을 고려할 수 있어요.",https://www.kdca.go.kr,자세히 보기,
40,라임병·기타진드기매개,진드기매개뇌염,,,,진드기매개뇌염 유행 지역은 어디인가요?,진드기매개뇌염은 유럽 중부·동부(오스트리아·독일·체코·스위스·러시아 등)와 아시아 북부·동부(러시아 시베리아·중국 북동부·일본 홋카이도 등)에서 주로 유행해요. 국내에서는 드물게 보고되지만 러시아 극동 지역 여행자에서 감염 사례가 있어요. 유럽 등 유행 지역으로 장기 여행하거나 야외 활동(등산·캠핑·사냥 등)을 계획하는 경우 출발 전 예방접종 여부를 확인하는 것이 좋아요. 여행 전 '해외감염병 NOW'에서 최신 유행 정보를 확인하세요.,http://해외감염병now.kr,자세히 보기,
41,라임병·기타진드기매개,진드기매개뇌염,,,,진드기매개뇌염 예방접종이 있나요?,"네, 진드기매개뇌염(TBE) 예방백신이 있어요. 유럽에서 개발된 백신(FSME-Immun, Encepur 등)이 유럽형 및 시베리아형에 효과적이에요. 기본 접종은 3회(0·1~3개월·5~12개월)이며, 이후 3~5년마다 추가접종을 권고해요. 빠른 방어가 필요한 경우 단축 일정으로 접종할 수 있어요. 유행 지역(러시아·동유럽·중앙아시아 등) 장기 여행자나 야외 활동이 많은 경우 예방접종이 권장돼요. 현재 국내에서는 일부 해외여행 클리닉에서 수입 백신을 접종할 수 있어요.",https://www.kdca.go.kr,자세히 보기,
42,라임병·기타진드기매개,진드기매개뇌염,,,,진드기매개뇌염 증상이 어떻게 되나요?,진드기매개뇌염은 두 단계로 나뉘어 증상이 나타나는 경우가 많아요. 1단계(약 1~8일)는 독감 유사 증상으로 발열·두통·근육통·피로감이 나타나다가 일시적으로 회복돼요. 이후 약 1~3주 후 2단계로 뇌·수막 침범 증상인 고열·심한 두통·구역·구토·경부 강직·의식 변화·마비 등이 나타나요. 중증의 경우 영구적인 신경학적 후유증(마비·인지장애)이 남을 수 있어요. 극동형은 유럽형보다 중증도가 높아 치명률이 20~40%로 높아요. 진단은 혈청 또는 뇌척수액에서 특이 항체 또는 바이러스를 검출해 확인해요.,https://www.kdca.go.kr,자세히 보기,
43,웨스트나일열,웨스트나일열,,,,웨스트나일열이란 무엇인가요?,"웨스트나일열은 웨스트나일 바이러스(West Nile Virus)에 감염된 Culex속 모기에 물려 발생하는 모기매개 바이러스 감염병이에요. 자연계에서 모기와 조류 사이에 순환하다 사람에게 전파돼요. 감염자의 약 80%는 증상이 없고, 20% 정도에서 가벼운 열성 질환이 생기며, 약 1% 미만에서 뇌염·수막염 등 심각한 신경계 합병증이 발생해요. 인체용 백신과 특이적 치료제는 없어요. 국내 토착 발생은 없으며 해외여행 유입 사례로만 보고되고 있어요.",http://해외감염병now.kr,자세히 보기,
